epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.26,0.69681,3.35201,1.26572,0.01315,0.80758,0.22137,0.19862,0.45336,3.73829,0.94234,0.000296114,0.000296114,0.000296114
2,598.397,0.63838,2.78657,1.22089,0.32455,0.20726,0.29201,0.17264,1.19136,3.48308,1.55801,0.000569458,0.000569458,0.000569458
3,901.265,0.68859,2.28786,1.24798,0.4393,0.51599,0.44632,0.33517,0.92726,3.08228,1.26932,0.000812804,0.000812804,0.000812804
4,1194.18,0.62131,1.90347,1.18874,0.34692,0.47205,0.35679,0.26007,0.89274,2.67493,1.32146,0.000774013,0.000774013,0.000774013
5,1487.25,0.59498,1.71475,1.15864,0.59579,0.56946,0.63293,0.53181,0.64156,2.16907,1.14051,0.000729018,0.000729018,0.000729018
6,1779.52,0.58323,1.57779,1.14788,0.58461,0.50577,0.59591,0.52333,0.55423,1.6774,0.96485,0.000684022,0.000684022,0.000684022
7,2072.07,0.53322,1.47757,1.11071,0.78879,0.56743,0.71351,0.64992,0.51288,1.36778,0.89554,0.000639027,0.000639027,0.000639027
8,2365.44,0.54131,1.34024,1.12043,0.67348,0.61239,0.69262,0.62544,0.52542,1.4318,0.93617,0.000594031,0.000594031,0.000594031
9,2658.15,0.48376,1.23217,1.08137,0.75125,0.65839,0.75063,0.69152,0.51071,1.32679,0.92715,0.000549036,0.000549036,0.000549036
10,2952.53,0.50282,1.17009,1.09815,0.72909,0.75922,0.76547,0.68581,0.50017,1.13679,0.92916,0.00050404,0.00050404,0.00050404
11,3244.6,0.54687,1.58148,1.19102,0.75369,0.72691,0.77227,0.68107,0.5743,1.37124,0.9967,0.000459045,0.000459045,0.000459045
12,3537.25,0.4784,1.24985,1.12879,0.84952,0.612,0.74428,0.67478,0.50182,1.34759,0.90845,0.000414049,0.000414049,0.000414049
13,3828.68,0.43805,1.10004,1.07914,0.88157,0.67196,0.77816,0.70964,0.54982,1.08204,0.93391,0.000369054,0.000369054,0.000369054
14,4117.19,0.42049,1.04892,1.0745,0.8651,0.72216,0.78167,0.72584,0.49492,1.03236,0.89814,0.000324058,0.000324058,0.000324058
15,4406.38,0.3759,0.96923,1.04626,0.84635,0.74038,0.78191,0.72601,0.49941,0.9906,0.89129,0.000279063,0.000279063,0.000279063
16,4696.57,0.38474,0.87685,1.04751,0.86874,0.72489,0.79318,0.74216,0.46894,0.88057,0.86693,0.000234068,0.000234068,0.000234068
17,4986.43,0.35387,0.81718,1.02346,0.86855,0.79613,0.83306,0.77804,0.46367,0.86164,0.84826,0.000189072,0.000189072,0.000189072
18,5277.53,0.35793,0.80813,1.03719,0.87288,0.74552,0.81545,0.76782,0.46117,0.84552,0.86615,0.000144077,0.000144077,0.000144077
19,5590.78,0.3252,0.74822,1.00426,0.92865,0.77345,0.83621,0.78898,0.42854,0.80461,0.82695,9.9081e-05,9.9081e-05,9.9081e-05
20,5881.69,0.33109,0.72719,1.00899,0.86274,0.7949,0.8267,0.77399,0.44215,0.78933,0.8348,5.40855e-05,5.40855e-05,5.40855e-05
